email1@mail.com,user1,30.10
email2@mail.com,user2,3.37
email3@mail.com,user3,97.7
email4@mail.com,user4,74.86
email5@mail.com,user5,53.10
email6@mail.com,user6,18.72
email7@mail.com,user7,89.49
email8@mail.com,user8,35.91
email9@mail.com,user9,47.97
email10@mail.com,user10,91.17
email11@mail.com,user11,17.66
email12@mail.com,user12,57.25
email13@mail.com,user13,94.77
email14@mail.com,user14,21.48
email15@mail.com,user15,70.6
email16@mail.com,user16,76.48
email17@mail.com,user17,7.95
email18@mail.com,user18,73.2
email19@mail.com,user19,84.79
email20@mail.com,user20,9.27
email21@mail.com,user21,28.46
email22@mail.com,user22,41.40
email23@mail.com,user23,79.88
email24@mail.com,user24,24.27
email25@mail.com,user25,39.40
email26@mail.com,user26,71.23
email27@mail.com,user27,77.17
email28@mail.com,user28,55.27
email29@mail.com,user29,58.83
email30@mail.com,user30,56.66
email31@mail.com,user31,67.44
email32@mail.com,user32,45.11
email33@mail.com,user33,67.81
email34@mail.com,user34,48.30
email35@mail.com,user35,53.47
email36@mail.com,user36,49.81
email37@mail.com,user37,1.22
email38@mail.com,user38,63.35
email39@mail.com,user39,8.92
email40@mail.com,user40,40.73
email41@mail.com,user41,57.81
email42@mail.com,user42,49.31
email43@mail.com,user43,48.24
email44@mail.com,user44,70.90
email45@mail.com,user45,41.60
email46@mail.com,user46,26.80
email47@mail.com,user47,51.90
email48@mail.com,user48,12.1
email49@mail.com,user49,73.81
email50@mail.com,user50,14.83
email51@mail.com,user51,78.16
email52@mail.com,user52,51.40
email53@mail.com,user53,99.10
email54@mail.com,user54,20.72
email55@mail.com,user55,93.3
email56@mail.com,user56,77.13
email57@mail.com,user57,9.68
email58@mail.com,user58,15.12
email59@mail.com,user59,9.54
email60@mail.com,user60,18.74
email61@mail.com,user61,7.68
email62@mail.com,user62,9.11
email63@mail.com,user63,35.35
email64@mail.com,user64,3.42
email65@mail.com,user65,43.71
email66@mail.com,user66,3.12
email67@mail.com,user67,80.92
email68@mail.com,user68,46.64
email69@mail.com,user69,51.2
email70@mail.com,user70,46.66
email71@mail.com,user71,69.60
email72@mail.com,user72,97.20
email73@mail.com,user73,21.32
email74@mail.com,user74,37.55
email75@mail.com,user75,89.32
email76@mail.com,user76,1.29
email77@mail.com,user77,9.8
email78@mail.com,user78,70.96
email79@mail.com,user79,77.58
email80@mail.com,user80,20.77
email81@mail.com,user81,15.28
email82@mail.com,user82,78.5
email83@mail.com,user83,0.26
email84@mail.com,user84,35.24
email85@mail.com,user85,40.26
email86@mail.com,user86,8.95
email87@mail.com,user87,20.6
email88@mail.com,user88,90.16
email89@mail.com,user89,80.8
email90@mail.com,user90,77.50
email91@mail.com,user91,97.57
email92@mail.com,user92,77.44
email93@mail.com,user93,69.80
email94@mail.com,user94,30.46
email95@mail.com,user95,74.5
email96@mail.com,user96,0.8
email97@mail.com,user97,27.72
email98@mail.com,user98,32.52
email99@mail.com,user99,57.59
email100@mail.com,user100,52.79
email101@mail.com,user101,12.22
email102@mail.com,user102,57.40
email103@mail.com,user103,1.0
email104@mail.com,user104,84.23
email105@mail.com,user105,57.13
email106@mail.com,user106,69.19
email107@mail.com,user107,55.59
email108@mail.com,user108,87.95
email109@mail.com,user109,16.16
email110@mail.com,user110,91.79
email111@mail.com,user111,0.40
email112@mail.com,user112,24.40
email113@mail.com,user113,52.55
email114@mail.com,user114,7.51
email115@mail.com,user115,47.2
email116@mail.com,user116,45.18
email117@mail.com,user117,9.30
email118@mail.com,user118,89.32
email119@mail.com,user119,79.77
email120@mail.com,user120,50.38
email121@mail.com,user121,79.33
email122@mail.com,user122,70.46
email123@mail.com,user123,81.55
email124@mail.com,user124,9.82
email125@mail.com,user125,92.8
email126@mail.com,user126,51.4
